index,Title,Age,Country,Genre,Logo,Link 
19, Глубокое синее море 3, 2020, США, Ужасы, https://rezka.ag/i/2020/9/24/i7f2efed551b0oa94o16v.png, https://rezka.ag/films/horror/35784-glubokoe-sinee-more-3-2020.html 
20, Сникерхеды, 2020, США, Комедии, https://rezka.ag/i/2020/9/15/ubc4ef3bb14c4ue48e77j.png, https://rezka.ag/series/comedy/35704-snikerhedy-2020.html 
21, Вот как я тебя люблю, 2020-..., Канада, Комедии, https://rezka.ag/i/2020/9/27/ke4ccff35208aaz61m55y.png, https://rezka.ag/series/comedy/35811-vot-kak-ya-tebya-lyublyu-2020.html 
22, Смотри как я, 2020, Россия, Комедии, https://rezka.ag/i/2020/7/14/r12297906dbd8hn40c59k.png, https://rezka.ag/films/comedy/35057-smotri-kak-ya-2020.html 
23, Шифр 2, 2020, Россия, Драмы, https://rezka.ag/i/2020/9/24/qc2902ac72f87gt13k57t.png, https://rezka.ag/series/drama/35786-shifr-2-2020.html 
24, Свои 3, 2020, Россия, Детективы, https://rezka.ag/i/2020/9/8/u7a217fdd03b4gf71g78w.png, https://rezka.ag/series/detective/35620-svoi-3-2020.html 
25, Сибил, 1976, США, Драмы, https://rezka.ag/i/2020/9/27/p9191a8796ee6gi61l74k.png, https://rezka.ag/films/drama/35810-sibil-1976.html 
26, Керель, 1982, Германия(ФРГ), Драмы, https://rezka.ag/i/2020/9/27/mdfcdecee0b5csx85w29v.png, https://rezka.ag/films/drama/35809-kerel-1982.html 
27, Заговор против Гитлера, 1990, Югославия, Драмы, https://rezka.ag/i/2020/9/27/e705afa1c1ea0oh33m65k.png, https://rezka.ag/films/drama/35808-zagovor-protiv-gitlera-1990.html 
28, Старшеклассницы, 2006, Япония, Комедии, https://rezka.ag/i/2020/9/27/ebc948dce24c4sf10c23f.png, https://rezka.ag/animation/comedy/35807-starsheklassnicy-2006.html 
29, Горбун из Нотр-Дама, 1982, Великобритания, Драмы, https://rezka.ag/i/2020/9/27/m99a60ebeb1f7nw86v84m.png, https://rezka.ag/films/drama/35805-gorbun-iz-notr-dama-1982.html 
30, Германия 89, 2020, Германия, Драмы, https://rezka.ag/i/2020/9/12/z9e6d79d70c2fxn67l88o.png, https://rezka.ag/series/drama/35664-germaniya-89-2020.html 
31, Муссолини и я, 1985, Италия, Драмы, https://rezka.ag/i/2020/9/26/z1442768add18qi78y67u.png, https://rezka.ag/series/drama/35804-mussolini-i-ya-1985.html 
32, Кукольный дом, 1973, Великобритания, Драмы, https://rezka.ag/i/2020/9/26/ff9cd4875c530mc80o19f.png, https://rezka.ag/films/drama/35803-kukolnyy-dom-1973.html 
33, Короткие встречи, 1967, СССР, Драмы, https://rezka.ag/i/2020/9/26/a2404c013128efp78i59l.png, https://rezka.ag/films/drama/35802-korotkie-vstrechi-1967.html 
34, Старые дела, 2006, Россия, Криминал, https://rezka.ag/i/2020/9/26/ja3c94506b3bfuh39a19l.png, https://rezka.ag/series/crime/35801-starye-dela-2006.html 
35, Просто представь, что мы знаем, 2020, Россия, Драмы, https://rezka.ag/i/2020/9/4/bb317d66f4a2dhc80h96p.png, https://rezka.ag/series/drama/35553-prosto-predstav-chto-my-znaem-2020.html 
36, Флот МакХэйла, 1964, США, Комедии, https://rezka.ag/i/2020/9/26/k96121290662bum92f90u.png, https://rezka.ag/films/comedy/35800-flot-makheyla-1964.html 
